@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 15\nSize of the tree: 29\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

kc1-class-level-numericdefect,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,96,49,37,12,0,75.510204,24.489796,0,0.485114,0.254616,0.487428,52.497495,99.151458,47.815932,10746.86685,-10699.050918,0.975835,219.323813,-218.347978,22.540845,0.460017,47.140867,0.65,13,0.172414,5,0.827586,24,0.35,7,0.722222,0.65,0.684211,0.48691,0.742241,0.622351,0.755102,0.277516,0.722484,0.244898,0.752981,0.755102,0.752739,0.48691,0.742241,0.698134,0.742105,0.755102,0.012,0,0.01,0,10,0,13183,82505,45422,79.591837,56.122449,'Number of leaves: 14\nSize of the tree: 27\n',?,27,14,14
kc1-class-level-numericdefect,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,96,49,36,13,0,73.469388,26.530612,0,0.409639,0.265612,0.515041,54.764666,104.768364,47.815932,1659.300113,-1611.484182,0.975835,33.863268,-32.887432,21.287447,0.434438,44.519569,0.45,9,0.068966,2,0.931034,27,0.55,11,0.818182,0.45,0.580645,0.448839,0.818103,0.750384,0.734694,0.353659,0.646341,0.265306,0.754467,0.734694,0.714001,0.448839,0.80943,0.790567,0.693308,0.734694,0.002,0.002,0,0.01,0,10,20743,82505,45422,73.469388,50,?,?,?,?,?
kc1-class-level-numericdefect,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,95,50,29,21,0,58,42,0,0.120603,0.420391,0.646771,86.503922,131.026718,49.081342,3545.903752,-3496.82241,0.981627,70.918075,-69.936448,6.10631,0.122126,12.441204,0.428571,9,0.310345,9,0.689655,20,0.571429,12,0.5,0.428571,0.461538,0.121566,0.704433,0.543308,0.58,0.461773,0.538227,0.42,0.5725,0.58,0.574174,0.121566,0.6711,0.638862,0.558638,0.58,0.002,0.004,0,0,0,0,20743,81716,46211,58,51,?,?,?,?,?
kc1-class-level-numericdefect,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,95,50,30,20,0,60,40,0,0.108734,0.4,0.632456,82.308085,128.126648,49.081342,2420.675126,-2371.593784,0.981627,48.413503,-47.431876,8.181167,0.163623,16.668589,0.238095,5,0.137931,4,0.862069,25,0.761905,16,0.555556,0.238095,0.333333,0.128679,0.699507,0.570933,0.6,0.499836,0.500164,0.4,0.586992,0.6,0.554286,0.128679,0.645222,0.615195,0.52381,0.6,0.002,0.004,0,0,0,0,20743,81716,46211,60,50,?,?,?,?,?
kc1-class-level-numericdefect,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,96,49,38,11,0,77.55102,22.44898,0,0.521739,0.235285,0.477521,48.325006,96.411888,48.336825,1737.406472,-1689.069647,0.986466,35.457275,-34.470809,24.855139,0.507248,51.42071,0.571429,12,0.071429,2,0.928571,26,0.428571,9,0.857143,0.571429,0.685714,0.547723,0.845238,0.781778,0.77551,0.27551,0.72449,0.22449,0.791837,0.77551,0.765533,0.547723,0.825802,0.794829,0.755556,0.77551,0.002,0.004,0,0,0,0,20743,82505,45422,77.55102,52.040816,?,?,?,?,?
kc1-class-level-numericdefect,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,95,50,33,17,0,66,34,0,0.268503,0.351529,0.586181,72.334077,118.752129,49.081342,2649.347608,-2600.266266,0.981627,52.986952,-52.005325,13.281194,0.265624,27.059558,0.428571,9,0.172414,5,0.827586,24,0.571429,12,0.642857,0.428571,0.514286,0.281579,0.755337,0.635436,0.66,0.403842,0.596158,0.34,0.656667,0.66,0.644308,0.281579,0.744384,0.713088,0.626374,0.66,0.003,0.003,0,0.01,0,10,20743,81716,46211,66,53,?,?,?,?,?
kc1-class-level-numericdefect,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,96,49,34,15,0,69.387755,30.612245,0,0.307257,0.306588,0.552882,63.213209,112.465854,47.815932,2244.432155,-2196.616223,0.975835,45.804738,-44.828903,17.197573,0.350971,35.966198,0.35,7,0.068966,2,0.931034,27,0.65,13,0.777778,0.35,0.482759,0.356716,0.825862,0.728185,0.693878,0.412843,0.587157,0.306122,0.71695,0.693878,0.660221,0.356716,0.815658,0.782682,0.632684,0.693878,0.002,0.034,0.01,0,10,0,20743,82505,45422,69.387755,50,?,?,?,?,?
kc1-class-level-numericdefect,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,95,50,32,18,0,64,36,0,0.220104,0.359305,0.598849,73.934138,121.318467,49.081342,2506.100207,-2457.018865,0.981627,50.122004,-49.140377,12.321763,0.246435,25.104781,0.380952,8,0.172414,5,0.827586,24,0.619048,13,0.615385,0.380952,0.470588,0.234651,0.796388,0.663881,0.64,0.431461,0.568539,0.36,0.634678,0.64,0.619465,0.234651,0.784959,0.743161,0.59893,0.64,0.003,0.006,0,0.01,0,10,20743,81716,46211,64,50,?,?,?,?,?
kc1-class-level-numericdefect,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,97,48,35,13,0,72.916667,27.083333,0,0.40458,0.267827,0.514881,55.143636,104.435564,47.03461,1067.66923,-1020.63462,0.979888,22.243109,-21.263221,20.691921,0.431082,43.992968,0.45,9,0.071429,2,0.928571,26,0.55,11,0.818182,0.45,0.580645,0.444063,0.866071,0.861563,0.729167,0.350595,0.649405,0.270833,0.750819,0.729167,0.708602,0.444063,0.857217,0.851732,0.690323,0.729167,0.003,0.005,0,0.01,0,10,20743,83294,44633,75,51.041667,?,?,?,?,?
kc1-class-level-numericdefect,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,95,50,39,11,0,78,22,0,0.526678,0.22064,0.467497,45.40105,94.708329,49.081342,347.515336,-298.433995,0.981627,6.950307,-5.96868,26.538302,0.530766,54.070042,0.571429,12,0.068966,2,0.931034,27,0.428571,9,0.857143,0.571429,0.685714,0.552329,0.866174,0.805089,0.78,0.277537,0.722463,0.22,0.795,0.78,0.769846,0.552329,0.863793,0.852545,0.758242,0.78,0.003,0.007,0,0.01,0,10,20743,81716,46211,78,51,?,?,?,?,?
kc1-class-level-numericdefect,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220726.1408,96,49,37,12,0,75.510204,24.489796,0,0.450467,0.246355,0.494865,50.794268,100.664275,47.815932,400.345069,-352.529137,0.975835,8.170308,-7.194472,23.242917,0.474345,48.609148,0.45,9,0.034483,1,0.965517,28,0.55,11,0.9,0.45,0.6,0.506723,0.868966,0.839807,0.755102,0.339585,0.660415,0.244898,0.792255,0.755102,0.732293,0.506723,0.868455,0.873751,0.711765,0.755102,0.003,0.003,0.01,0,10,0,20743,82505,45422,75.510204,51.020408,?,?,?,?,?
